Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_61808,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,15.0,mg/kg,no adverse effect observed at single/highest dose,,15.0,=,,True,61808,141.24,,OFLXNHNYPQPQKW-UHFFFAOYSA-N,False,,
CID_7119,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,12.0,mg/kg,no adverse effect observed at single/highest dose,,12.0,=,,True,7119,158.2,,LUZDYPLAQQGJEA-UHFFFAOYSA-N,False,,
CID_7531,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,50.0,mg/kg,no adverse effect observed at single/highest dose,,50.0,=,,True,7531,150.22,,RIWRBSMFKVOJMN-UHFFFAOYSA-N,False,,
CID_6054,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,125.0,mg/kg,no adverse effect observed at single/highest dose,,125.0,=,,True,6054,122.16,,WRMNZCZEMHIOCP-UHFFFAOYSA-N,False,,
CID_12613,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,250.0,mg/kg,no adverse effect observed at single/highest dose,,250.0,=,,True,12613,172.26,,XINCECQTMHSORG-UHFFFAOYSA-N,False,,
4-(p-Hydroxyphenyl)butan-2-one,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,250.0,mg/kg,no adverse effect observed at single/highest dose,,250.0,=,,True,,,,,False,,Not Found
CID_61982,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,5.0,mg/kg,no adverse effect observed at single/highest dose,,5.0,=,,True,61982,186.32,,RVOKNSFEAOYULQ-UHFFFAOYSA-N,False,,
CID_31266,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,50.0,mg/kg,no adverse effect observed at single/highest dose,,50.0,=,,True,31266,156.22,,RCSBILYQLVXLJG-UHFFFAOYSA-N,False,,
CID_243,EFSA FEEDAP,2018,3072,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,1500.0,mg/kg,no adverse effect observed at single/highest dose,,1500.0,=,,True,243,122.12,,WPYMKLBDIGXBTP-UHFFFAOYSA-N,False,,
CID_8194,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,50.0,mg/kg,no adverse effect observed at single/highest dose,,50.0,=,,True,8194,184.32,,HFJRKMMYBMWEAD-UHFFFAOYSA-N,False,,
CID_24020,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,250.0,mg/kg,no adverse effect observed at single/highest dose,,250.0,=,,True,24020,130.18,,HCRBXQFHJMCTLF-UHFFFAOYSA-N,False,,
CID_7797,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,318.0,mg/kg,no adverse effect observed at single/highest dose,,318.0,=,,True,7797,158.24,,TVQGDYNRXLTQAP-UHFFFAOYSA-N,False,,
Hex-2(trans)-enal,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,50.0,mg/kg,no adverse effect observed at single/highest dose,,50.0,=,,True,,,,,False,,Not Found
CID_5318042,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,50.0,mg/kg,no adverse effect observed at single/highest dose,,50.0,=,,True,5318042,100.16,,ZCHHRLHTBGRGOT-SNAWJCMRSA-N,False,,
Iron chelates of lysine and glutamic acid,EFSA FEEDAP,2019,3250,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,590.0,mg/kg,no adverse effect observed at single/highest dose,,590.0,=,,True,,,,,False,,Not Found
CID_31276,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,1250.0,mg/kg,no adverse effect observed at single/highest dose,,1250.0,=,,True,31276,130.18,,MLFHJEHSLIIPHL-UHFFFAOYSA-N,False,,
CID_6549,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36.0,dose level,=,300.0,mg/kg,no adverse effect observed at single/highest dose,,300.0,=,,True,6549,154.25,,CDOSHBSSFJOMGT-UHFFFAOYSA-N,False,,
