Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
Calcium tartrate (E 354),EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,,,,,False,,Not Found
Dimethyl polysiloxane (E 900),EFSA FAF,2020,3586,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,1742.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,1742.0,=,,True,,,,,False,,Not Found
Dipotassium tartrate (E 336(ii)),EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,,,,,False,,Not Found
Gellan gum,EFSA ANS,2018,3055,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,1460.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,1460.0,=,,True,,,,,False,,Not Found
"L(+)-Tartaric acid, disodium salt",EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,,,,,False,,Not Found
CID_444305,EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,444305,150.09,,FEWJPZIEWOKRBE-JCYAYHJZSA-N,False,,
Monosodium tartrate (E 335(i)),EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,,,,,False,,Not Found
CID_23681127,EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,23681127,188.18,,KYKNRZGSIGMXFH-ZVGUSBNCSA-M,False,,
Potassium sodium tartrate (E 337),EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,3100.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,3100.0,=,,True,,,,,False,,Not Found
CID_31339,EFSA ANS,2016,2817,Human health,chronic/long term toxicity,Rat,oral: feed,728.0,NOAEL,=,2000.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,2000.0,=,,True,31339,846.9,,UVGUPMLLGBCFEJ-SWTLDUCYSA-N,False,,
